quantity,kind,detail
LCDM_EDGES_T21_amplitude,odmap_gap,PAPER_1761
LCDM_EDGES_T21_amplitude,odmap_gap,PAPER_1761
LCDM_EDGES_extra_cooling,odmap_gap,PAPER_1156
LCDM_EDGES_extra_cooling,odmap_gap,PAPER_1156
LCDM_EDGES_extra_cooling,odmap_gap,PAPER_1156
LCDM_EDGES_extra_cooling,odmap_gap,PAPER_1156
LCDM_EDGES_extra_cooling,odmap_gap,PAPER_1156
LCDM_EDGES_extra_cooling,odmap_gap,PAPER_1156
LCDM_EDGES_extra_cooling,odmap_gap,PAPER_1156
LCDM_EDGES_extra_cooling,odmap_gap,PAPER_1156
LCDM_EDGES_extra_cooling,odmap_gap,PAPER_1156
LCDM_H0_tension_ratio,odmap_gap,PAPER_1156
LCDM_H0_tension_ratio,odmap_gap,PAPER_1156
LCDM_H0_tension_ratio,odmap_gap,PAPER_1156
LCDM_H0_tension_ratio,odmap_gap,PAPER_1156
LCDM_H0_tension_ratio,odmap_gap,PAPER_1156
LCDM_H0_tension_ratio,odmap_gap,PAPER_1156
LCDM_H0_tension_ratio,odmap_gap,PAPER_1156
LCDM_H0_tension_ratio,odmap_gap,PAPER_1156
LCDM_H0_tension_ratio,odmap_gap,PAPER_1156
LCDM_Li7_BBN_dilution,odmap_gap,PAPER_1227
LCDM_Li7_BBN_dilution,odmap_gap,PAPER_1227
LCDM_Li7_BBN_dilution,odmap_gap,PAPER_1227
LCDM_Li7_BBN_dilution,odmap_gap,PAPER_1227
LCDM_Li7_BBN_dilution,odmap_gap,PAPER_1227
LCDM_Li7_BBN_dilution,odmap_gap,PAPER_1227
LCDM_Li7_BBN_dilution,odmap_gap,PAPER_1227
LCDM_Li7_BBN_dilution,odmap_gap,PAPER_1227
LCDM_Li7_BBN_dilution,odmap_gap,PAPER_1227
LCDM_Li7_over_H,odmap_gap,PAPER_1156
LCDM_Li7_over_H,odmap_gap,PAPER_1156
LCDM_Li7_over_H,odmap_gap,PAPER_1156
LCDM_Li7_over_H,odmap_gap,PAPER_1156
LCDM_Li7_over_H,odmap_gap,PAPER_1156
LCDM_Li7_over_H,odmap_gap,PAPER_1156
LCDM_Li7_over_H,odmap_gap,PAPER_1156
LCDM_Li7_over_H,odmap_gap,PAPER_1156
LCDM_Li7_over_H,odmap_gap,PAPER_1156
LCDM_N_eff,odmap_gap,PAPER_1156
LCDM_N_eff,odmap_gap,PAPER_1156
LCDM_N_eff,odmap_gap,PAPER_1156
LCDM_N_eff,odmap_gap,PAPER_1156
LCDM_N_eff,odmap_gap,PAPER_1156
LCDM_N_eff,odmap_gap,PAPER_1156
LCDM_N_eff,odmap_gap,PAPER_1156
LCDM_N_eff,odmap_gap,PAPER_1156
LCDM_N_eff,odmap_gap,PAPER_1156
LCDM_Omega_m,odmap_gap,PAPER_1156
LCDM_Omega_m,odmap_gap,PAPER_1156
LCDM_Omega_m,odmap_gap,PAPER_1156
LCDM_Omega_m,odmap_gap,PAPER_1156
LCDM_Omega_m,odmap_gap,PAPER_1156
LCDM_Omega_m,odmap_gap,PAPER_1156
LCDM_Omega_m,odmap_gap,PAPER_1156
LCDM_Omega_m,odmap_gap,PAPER_1156
LCDM_Omega_m,odmap_gap,PAPER_1156
LCDM_T_CMB,odmap_gap,PAPER_1156
LCDM_T_CMB,odmap_gap,PAPER_1156
LCDM_T_CMB,odmap_gap,PAPER_1156
